word,cluster
amphoteric,6
ampler,6
amputation,5
amtrak,6
an,6
anaesthesiologist,9
anaglyphic,6
analysis,7
analyst,3
analysts,3
analytic,7
analytical,7
analytics,7
analyzation,7
analyze,7
analyzed,7
analyzes,7
analyzing,7
anamnesis,6
anaphylactoid,6
anastomosing,6
anciens,6
ancillary,1
ancillaries,2
andor,6
androgenetic,6
androsterone,6
anecdotal,6
anecdotally,1
aneroid,6
anesthesiologist,9
anesthesiologists,9
anesthetist,9
anesthetists,9
anet,6
angioma,6
angiopathy,6
anglican,6
any,8
anicut,2
animation,7
anyone,6
anyplace,1
anytime,6
anywhere,6
anjou,6
ankylosing,6
annal,6
annex,0
annexation,0
annexations,0
annexe,2
annexed,0
annexes,0
annexing,0
annexure,2
anniversary,6
anniversaries,1
annotate,7
annotated,7
annotating,7
annotations,7
annotators,7
announce,8
announced,8
announcement,8
announcements,8
annual,6
annualize,3
annualized,3
annually,6
annuation,6
annuitant,4
annuitants,3
annuity,3
annuities,3
annul,4
annularity,6
annulation,6
annulled,4
annulling,2
annulment,4
annunciate,6
annunciators,7
anolyte,6
anomaly,6
anonyme,6
anonymity,5
anonymous,1
anonymously,1
anovulatory,6
ansar,2
ansi,6
answerers,7
answers,8
antedate,6
antedated,6
anteed,6
antemortem,6
anther,6
anthroposophic,6
antianxiety,6
anticipate,8
anticipated,8
anticipates,8
anticipative,6
anticompetitive,4
anticorrosion,6
anticrisis,8
antidrug,5
antidumping,4
antigambling,1
antigraft,2
antilabor,6
antilitter,6
antimalaria,6
antimissile,0
antimitotic,6
antimonide,6
antimonopoly,4
antinarcotics,5
anting,6
antipersonnel,6
antiphons,6
antipollution,0
antiquated,8
antirheumatic,6
antiriot,5
antirust,4
antiship,6
antiskid,0
antismoking,1
antisocially,6
antispeculation,8
antisubmarine,0
antitobacco,8
antitrypsin,6
antitrust,4
antivirus,7
aortoiliac,6
apartment,5
apartments,0
aphelion,6
aplace,6
aplastic,6
apodyterium,6
apostille,6
app,7
appar,6
appassionato,6
appeal,8
appealable,4
appeals,5
appellant,4
appellants,4
appellate,4
appellee,4
appellees,4
appels,6
appended,7
appendices,7
appending,7
appendix,6
appertaining,4
apply,8
appliance,7
applicability,4
applicable,4
applicant,4
applicants,9
application,7
applications,7
applicative,7
applied,8
applier,6
appliers,6
applying,8
appoint,8
appointable,8
appointed,8
appointee,5
appointees,5
appointing,8
appointive,4
appointment,9
appointments,9
appointor,4
apportion,4
apportioned,4
apportioning,8
apportionment,4
apportionments,4
apposing,6
appositive,6
appraisal,4
appraisals,1
appraise,8
appraised,4
appraisement,6
appraiser,4
appraisers,1
appraising,8
appreciable,6
appreciation,8
apprehending,5
apprehension,5
apprehensions,2
apprentices,9
apprenticeship,9
apprenticeships,9
apprise,2
apprising,2
apprized,6
approach,8
approaches,8
appropriate,8
appropriated,4
appropriately,6
appropriateness,8
appropriating,8
appropriation,4
appropriations,3
appropriative,6
appropriator,6
appropriators,5
approval,8
approvals,3
approve,8
approved,8
approver,2
approvers,7
approving,8
approximate,6
approximated,6
approximately,6
approximating,6
appui,6
appurtenant,4
apx,6
aquarter,6
aquatics,9
aquila,6
arachidonic,6
arbitrable,4
arbitrage,3
arbitrager,6
arbitragers,3
arbitrages,3
arbitral,4
arbitrarily,4
arbitrate,4
arbitrated,4
arbitrating,4
arbitration,4
arbitrations,4
arbitrator,4
arbitrators,4
arbs,3
archbishopric,5
archdeacons,6
archdiocesan,9
archdiocese,5
archdioceses,5
architect,8
architects,8
architecture,7
architectures,7
archival,7
archive,7
archived,7
archiver,7
archives,7
archiving,7
archivist,9
archivists,7
are,6
area,0
areal,6
areally,6
arean,6
areas,0
areawide,0
arena,1
arenas,1
arenite,6
arest,6
argentiferous,6
argillaceous,6
arguendo,4
arise,8
arised,6
arisen,8
arising,4
arisings,0
arithmetics,6
arkosic,6
armament,0
army,5
armorers,6
armory,0
armories,0
armourers,6
arow,6
array,6
arraign,5
arraigning,5
arraignment,5
arraignments,5
arraigns,5
arraying,6
arrange,8
arranged,8
arrangement,8
arrangements,8
arranger,3
arrangers,1
arranging,8
arrastre,6
arrear,2
arrearage,4
arrearages,4
arrears,2
arrest,5
arrestable,5
arrestee,5
arrestees,5
arrestment,6
arrests,5
arrivals,1
arrivers,1
arrowleaf,6
arson,5
arsonist,5
arsonists,5
arsons,5
arterials,0
arthritics,6
article,6
articled,9
articles,1
articling,9
articulable,4
articularly,6
articulators,6
artificially,6
artisanry,6
artistes,2
artists,1
arts,9
artus,6
as,6
asbestos,0
asbestosis,4
ascertain,2
ascertainable,4
ascertained,2
ascertaining,2
ascochyta,6
ascorbic,6
ascriptions,6
asymptote,6
async,7
asynchrony,6
ask,8
askaris,2
askers,1
askings,6
aspartyl,6
aspect,8
aspects,8
asperger,6
asphalting,2
asphyxial,6
asphodel,6
aspirants,2
aspirators,6
asportation,4
assai,6
assayer,6
assayers,6
assailants,5
assaulter,5
assaulters,5
assemble,8
assembler,7
assemblers,1
assembly,6
assemblies,2
assemblyman,5
assemblymen,2
assemblywoman,5
assemblywomen,9
assertedly,4
assess,8
assessable,4
assessed,8
assessee,2
assessing,8
assessment,8
assessments,8
assessor,4
assessors,9
asset,3
assets,3
assign,8
assigned,8
assignee,4
assignees,4
assigner,9
assigning,8
assignment,9
assignments,9
assignor,4
assignors,4
assist,8
assistance,8
assistances,2
assistants,9
assistantship,9
assistantships,9
assisted,8
assisting,8
assistive,9
assistors,8
assizes,5
associate,9
associated,6
associates,1
associateship,9
association,8
associations,1
associatively,7
assort,6
assortative,6
assumable,3
assumably,6
assume,8
assuming,8
assumingly,6
assumption,8
assumptions,3
assurance,8
assurances,8
assure,8
assurer,3
assurers,3
astay,9
astate,6
asterisk,7
asterisked,6
asthmas,6
astrobiological,6
astrometric,6
astronaut,9
astronautical,6
astronauts,9
astronomical,6
astronomically,6
astrophotographer,6
at,6
athenaeum,9
atheromatous,6
athlete,9
athletes,9
athletic,9
athletics,9
atmo,6
atomicity,7
atomising,6
atomizes,6
atonic,6
attach,8
attache,5
attached,6
attaching,8
attackable,6
attackers,5
attain,8
attainability,8
attainable,8
attained,6
attaining,8
attainment,8
attainted,6
atte,6
attempters,6
attend,9
attendance,9
attendances,1
attendant,6
attendants,1
attendee,1
attendees,1
attender,2
attenders,9
attent,6
attestation,2
attestations,4
attesting,4
attorney,5
attorneys,5
attractive,8
attractiveness,8
attributable,3
attributes,6
attributive,6
attrited,6
attrition,9
atwo,6
auberges,6
auction,1
auctioneers,1
auctioning,1
auctions,1
audibility,7
audio,7
audiology,9
audiological,9
audiologist,9
audiologists,9
audiometer,6
audion,6
audios,7
audiotape,5
audiotapes,5
audiovisual,1
audiovisuals,6
audit,4
auditable,7
audited,4
auditing,8
auditor,4
auditorium,9
auditoriums,9
auditors,4
audits,3
augh,6
augment,8
augmentation,8
augmentative,7
augmented,6
augmenting,8
aurum,6
auspice,8
auspices,8
authenticate,7
authenticated,7
authenticating,7
authentication,7
authentications,7
authenticator,7
authenticators,7
authored,6
authoring,7
authority,4
authorities,5
authorization,4
authorizations,4
authorize,4
authorized,4
authorizer,9
authorizers,9
authorizing,4
authors,6
autistic,9
auto,1
autochanger,6
autodial,7
autodialer,1
autodialers,7
autodialing,7
autodrome,6
automaker,3
automatable,7
automate,7
automated,7
automatic,7
automatically,7
automation,7
automative,1
automatized,6
automobile,1
automobiles,0
automobility,6
automotive,1
autonomically,7
autonomous,8
autonomously,7
autopilot,7
autopista,0
autopsies,5
autos,3
auxiliary,9
auxiliaries,9
auxillary,6
avail,2
availabile,6
availability,6
availabilities,1
available,8
availably,6
availed,2
availing,2
availment,2
avails,2
avantage,6
avariciously,6
avenue,8
avenues,8
average,6
averages,6
aversely,6
averseness,6
avgas,0
aviation,0
aviations,6
avionic,7
avionics,0
avocational,9
avoidable,8
avoidances,6
aways,6
award,6
awardable,4
awarded,6
awardee,2
awardees,9
awarding,8
awards,1
awareness,8
aweek,1
aweigh,6
awide,6
awin,6
azimuths,6
azine,6
babysitting,9
baccalaureate,9
baccalaureates,9
bacillary,6
backbones,6
backcross,6
backdate,4
backdated,4
backdates,6
backdating,4
backfill,0
backfilled,0
backfilling,0
backfills,0
background,6
backgrounds,9
backhaul,0
backhauled,0
backhauling,0
backhauls,0
backland,0
backlist,1
backlists,1
backlog,3
backlogged,5
backlogging,8
backlogs,3
backoff,6
backorder,7
backout,6
backset,6
backspread,6
backstops,8
backstretches,6
backup,7
backups,7
backwind,6
bacteremic,6
bactericides,6
bacteriologically,6
bacteriologists,6
baculum,6
badged,1
badminton,9
baggage,1
baggages,2
baggers,1
baht,2
bahts,6
bayesian,6
bail,5
bailable,2
bailee,4
bailiff,5
bailiffs,5
bailiwicks,2
bailment,4
bailor,4
bailout,3
bayman,6
bakeshops,1
balan,6
balance,8
balanced,8
balances,3
balancing,8
balangay,6
baldachin,6
ballfield,0
ballo,6
ballot,5
balloted,2
balloting,5
ballots,5
ballpark,0
ballparks,1
ban,8
bandh,2
bando,6
bandobust,2
bandwidth,7
bank,3
bankable,8
bankbook,1
bankbooks,1
bankcard,1
bankcards,1
banker,1
bankers,1
bankfull,0
banking,3
bankmen,2
bankrupcy,3
bankrupt,3
bankruptcy,3
bankruptcies,3
bankrupts,3
banks,3
banning,8
banns,4
banquet,9
banqueting,2
bans,8
bantamweight,5
bantu,6
baptisms,9
bar,1
barani,6
baraza,2
barbershops,1
bareboat,3
barebones,7
barefacedly,6
bargainers,1
bargaining,8
bariatrics,9
baryonic,6
barkeepers,1
barometers,1
barracks,5
barras,1
barratry,4
barrelage,6
barrelhead,1
barrier,6
barriers,8
barristers,9
barse,6
barter,1
barterers,1
bartering,1
bartonella,6
base,6
baseball,9
based,6
baselines,7
bases,0
basic,6
basically,6
basics,8
basing,8
basis,8
bastnasite,6
batch,6
batched,7
bathyscaph,6
battalion,5
battalions,5
batterer,5
battlefront,5
battlefronts,6
battlegrounds,1
bauhinia,6
bauxite,2
bauxites,6
bazaar,1
bazaars,2
bdelloid,6
bds,6
be,6
beachboy,6
beaconing,7
bearer,2
bearing,6
bearish,3
bearishly,3
beatification,5
beauticians,1
beautify,0
beautification,0
beautifying,0
because,6
bedfast,6
bednights,1
bedside,9
been,6
beerhouse,6
beermaker,1
beforehand,6
befriender,9
begin,8
beginning,6
behalf,4
behalves,4
behavioral,9
being,6
beyond,8
belchers,6
believe,8
believes,8
belike,6
belonging,6
belongings,5
below,6
bels,6
beltways,0
benami,2
benchmark,3
benchmarked,7
benchmarking,7
benchmarks,8
benedictory,6
benefic,6
benefice,6
beneficial,8
beneficially,4
beneficiary,4
beneficiaries,2
beneficiate,8
beneficiated,6
beneficiating,6
beneficiation,2
benefit,8
benefits,8
benefitting,8
benzoyl,6
benzol,6
benzothiazole,6
bequest,4
bequests,3
bereave,6
bereaved,2
bereavement,9
bereavements,6
bering,6
berkshire,6
berthing,0
berths,0
besides,6
bestselling,6
betaken,8
betas,7
bethel,6
betony,6
betterment,8
betterments,0
bettor,1
bettors,1
between,6
bhaktas,6
bhut,6
by,6
biannual,8
biannually,9
biathlon,9
bibliog,6
bibliographer,9
bibliographic,7
bibliographical,7
bibliographies,7
bicameralism,4
bicentennial,0
bicentennials,6
bicyclers,0
bicycling,0
bid,8
bidder,1
bidders,1
bidding,1
biddings,2
bidirectionally,7
bids,1
byelaw,2
byelaws,2
biennales,1
biennia,3
biennial,8
biennially,6
biennium,3
bienniums,8
biens,6
bifurcate,8
bifurcating,2
bifurcation,2
biyearly,6
bikeway,0
bikeways,0
biking,0
bikram,6
bilateral,8
bylaw,0
bylaws,4
bylined,6
bylines,1
bilingual,9
bilingually,9
bill,8
billable,7
billboards,1
biller,1
billers,1
billeting,9
billing,1
billings,3
billion,3
billions,3
billon,3
billons,6
bills,1
bimonthly,1
binational,8
bindable,6
binderies,1
binding,8
bingo,1
bingos,1
bio,6
bioclimatic,6
bioenvironmental,6
biogas,0
biographic,7
biographical,7
bioinstrumentation,6
biomathematics,6
biometeorology,6
biometric,7
biometrical,7
biometrically,7
biometrics,7
bion,6
biopsychology,9
bioptic,6
bioresearch,6
biorhythm,6
bios,7
bioscience,9
biosciences,9
biotech,1
biotechnology,9
biotics,6
biotitic,6
bipartisan,8
bipartite,2
bypass,0
bipyridine,6
byroads,6
birr,2
birth,9
birthdays,9
birthing,9
bise,6
bisection,6
bistate,0
bisulfate,6
bitartrate,6
bitonal,6
bitted,6
bitumens,6
bitwise,7
biweekly,1
bizonal,8
bks,6
blackjack,1
blackland,6
blacklegged,6
blacklist,5
blacklisted,5
blacklisting,8
blacklists,7
blackout,0
blackouts,0
blackpoll,6
blacktopping,0
bladderwrack,6
blamable,6
blasthole,6
blastings,6
blastoffs,6
blebby,6
blending,8
bloc,8
block,6
blockade,0
blockaders,5
blockades,0
blocks,6
blocs,2
bloodmobile,9
bloodmobiles,1
bloodstock,1
blooey,6
blotter,5
blotters,1
blowoff,3
bls,6
bluebook,6
blueprint,8
blueprinting,7
blueprints,7
bluetick,6
bn,3
board,8
boarder,6
boarders,9
boarding,9
boardinghouses,1
boardings,0
boards,1
boardsmanship,9
boatsmen,6
bobtailing,6
bocci,6
